title,company,tags,link,location,field,experience,relevance_score
Data Analyst,Foodsmart,"Analyst, Growth, Edu, Investment, Operations, Health, Healthcare, Engineering, Executive",https://remoteok.com/remote-jobs/remote-data-analyst-foodsmart-1093207,Remote,Nursing,Not specified,0.27033019065856934
Principal Software Engineer,Shippo,"Software, Design, System, Django, Technical, Developer, Testing, Test, Growth, Code, DevOps, Financial, Cloud, API, Lead, Golang, Recruiting, Engineer, E-Commerce",https://remoteok.com/remote-jobs/remote-principal-software-engineer-shippo-1092986,Remote,Backend,senior,0.2514241337776184
Senior Software Engineer,Nava,"Software, Design, Security, Training, Consultancy, Technical, Support, Growth, Code, Web, Travel, DevOps, Java, Cloud, Mobile, Senior, Health, Recruiting, Engineer, Engineering, Backend",https://remoteok.com/remote-jobs/remote-senior-software-engineer-nava-1093123,Remote,AI,senior,0.22358332574367523
Data Engineer II,TrueML,"Design, Technical, Support, Software, Code, Financial, Cloud, Senior, Engineer, Engineering, Apache",https://remoteok.com/remote-jobs/remote-data-engineer-ii-trueml-1093479,Remote,General,senior,0.21597757935523987
Senior Data Analytics Engineer,Fullscript,"Design, Technical, Support, Testing, Growth, Code, DevOps, Financial, Cloud, Leader, Senior, Junior, Analytics, Health, Healthcare, Engineer, Engineering",https://remoteok.com/remote-jobs/remote-senior-data-analytics-engineer-fullscript-1093152,Remote,DS,fresher,0.20994049310684204
Testing Engineer,Trial Library,"Testing, System, Front End, Security, Software, Test, Code, Quality Assurance, Typescript, API, Reliability, Health, Healthcare, Engineer, Engineering, Backend",https://remoteok.com/remote-jobs/remote-testing-engineer-trial-library-1093169,Remote,Backend,Not specified,0.20387645065784454
Lead Data Engineer,Open Architects,"Engineer, Developer, DevOps, Data, DataOps",https://remoteok.com/remote-jobs/remote-lead-data-engineer-open-architects-1093295,Remote,DevOps,senior,0.20087170600891113
Backend Software Engineer,Firework,"Software, Design, SaaS, GraphQL, System, Technical, Code, Video, Engineer, Engineering, Backend",https://remoteok.com/remote-jobs/remote-backend-software-engineer-firework-1093113,Remote,Backend,Not specified,0.1914079636335373
Werkstudent im Bereich SAP & Cloud Automation,Public Cloud Group,"Cloud, Linux",https://remoteok.com/remote-jobs/remote-werkstudent-im-bereich-sap-amp-cloud-automation-public-cloud-group-1093160,Remote,General,Not specified,0.19123044610023499
Workflow Engineer,Serotonin,"Web3, System, Architect, Technical, Support, Growth, Code, Video, Chatbot, Management, Senior, Operations, Operational, Legal, Engineer",https://remoteok.com/remote-jobs/remote-workflow-engineer-serotonin-1093086,Remote,General,senior,0.18044795095920563
Senior AI Engineer Python & LLM Engineer,Lemon.io,"AWS, GCP, Azure, Openai, Llm, JavaScript, React, Ruby, React Native, Node, Blockchain, Svelte, Ui/ux, Design, Product Design, Shopify, Typescript, Figma, Wordpress, Engineer, Senior, Developer, English, Backend, Full Time, Remote",https://remoteok.com/remote-jobs/remote-senior-ai-engineer-python-llm-engineer-lemon-io-1093400,Remote,AI,senior,0.18000955879688263
Lead Software Engineer II Backend,Best Egg,"Software, Design, Front-End, Technical, Support, Test, Growth, Code, Web, Financial, API, Mobile, Lead, Analytics, Health, Engineer, Backend",https://remoteok.com/remote-jobs/remote-lead-software-engineer-ii-backend-best-egg-1093524,Remote,DS,senior,0.16200649738311768
Data Analyst Canada Wide,Newton,"Analyst, Crypto, Financial, Operational, Analytics",https://remoteok.com/remote-jobs/remote-data-analyst-canada-wide-newton-1093292,Remote,DS,Not specified,0.15872764587402344
Senior Systems Engineer Autonomous Vehicle Infrastructure,2100 NVIDIA USA,"Design, Security, Developer, Software, Code, Cloud, Leader, Management, Lead, Senior, Operational, Reliability, Go, Engineer, Engineering",https://remoteok.com/remote-jobs/remote-senior-systems-engineer-autonomous-vehicle-infrastructure-2100-nvidia-usa-1093327,Remote,DevOps,senior,0.1482429802417755
Site Reliability Engineer,Tinybird,"Design, Ansible, System, Architect, Software, Code, Web, C++, Cloud, Reliability, Health, Engineer, Backend",https://remoteok.com/remote-jobs/remote-site-reliability-engineer-tinybird-1093416,Remote,Backend,Not specified,0.14788632094860077
Software Engineer Data,Gauntlet,"Software, Design, Defi, Crypto, System, Technical, Support, Code, Financial, Operations, Analytics, Reliability, Engineer, Backend",https://remoteok.com/remote-jobs/remote-software-engineer-data-gauntlet-1093031,Remote,DS,Not specified,0.1430862843990326
Senior Software Developer HPC Cluster Management,2100 NVIDIA USA,"Developer, Software, Design, Ansible, System, Support, Manager, Node, Leader, Management, Senior, Linux",https://remoteok.com/remote-jobs/remote-senior-software-developer-hpc-cluster-management-2100-nvidia-usa-1092990,Remote,Backend,senior,0.1338697224855423
Senior Python Backend Engineer,Orga AI,"Developer, Senior, Backend, Ops, Startup, AWS",https://remoteok.com/remote-jobs/remote-senior-python-backend-engineer-orga-ai-1093458,Remote,Backend,senior,0.13097459077835083
Senior Site Reliability Engineer ML Platforms,2100 NVIDIA USA,"System, Training, Support, Software, Code, DevOps, Cloud, Leader, Management, Senior, Operational, Reliability, Go, Engineer, Engineering",https://remoteok.com/remote-jobs/remote-senior-site-reliability-engineer-ml-platforms-2100-nvidia-usa-1093465,Remote,AI,senior,0.12555165588855743
Senior Scientific Software Engineer Magnet Protection Systems,Commonwealth Fusion Systems,"Software, System, Technical, Test, Growth, Code, Travel, Lead, Senior, Operational, Excel, Engineer, Full-Time",https://remoteok.com/remote-jobs/remote-senior-scientific-software-engineer-magnet-protection-systems-commonwealth-fusion-systems-1093472,Remote,General,senior,0.06649189442396164
